index,id,miss_distance,name,est_diameter_min,est_diameter_max,relative_velocity,absolute_magnitude,hazardous
9128,3626611,10386106.93603719,(2013 CS83),0.1010543415,0.2259643771,79466.3828103978,22.1,False
9129,3626612,42088820.39195335,(2013 CT83),0.160160338,0.358129403,19672.4460459024,21.1,False
9130,3626614,4911080.093043623,(2013 CV83),0.04411182,0.0986370281,44622.0612763639,23.9,False
9131,3626615,16091350.060852053,(2013 CW83),0.0766575574,0.1714115092,55130.5526126684,22.7,False
9132,3626687,11764446.284206357,(2013 CW87),0.0183888672,0.0411187571,11804.3095349244,25.8,False
9133,3626688,2689703.041789128,(2013 CZ87),0.0167708462,0.0375007522,24943.0954398408,26.0,False
9134,3626689,10708205.032829529,(2013 CA88),0.0279611466,0.0625230245,12231.9118818438,24.89,False
9135,3626690,22928790.361970324,(2013 CB88),0.0667659413,0.1492931834,58613.8216734616,23.0,False
9136,3626730,58491053.601198085,(2013 CK89),0.6376097899,1.4257388333,41962.6444112802,18.1,False
9137,3626731,42448045.0897308,(2013 CL89),0.3503926411,0.7835017643,59681.707050956,19.4,False
9138,3626732,73104742.98187505,(2013 CJ89),0.3841978911,0.8590926012,123127.2497096395,19.2,False
9139,3626733,20782987.91067178,(2013 CL118),0.163137941,0.3647875257,28770.6175288985,21.06,False
9140,3626734,12487355.192265969,(2013 CM118),0.0231502122,0.0517654482,27862.5131733518,25.3,False
9141,3626735,2303148.623296899,(2013 CN118),0.0211132445,0.0472106499,35949.9131098785,25.5,False
9142,3627004,14831435.857245471,(2013 CE129),0.1010543415,0.2259643771,21190.3433356762,22.1,False
9143,3627005,3680221.341260561,(2013 CF129),0.0160160338,0.0358129403,24131.7008059856,26.1,False
9144,3627006,18009929.01051759,(2013 CG129),0.0319561887,0.0714562102,14237.3191770296,24.6,False
9145,3627007,20723356.913148098,(2013 CH129),0.0421264611,0.0941976306,25946.6132173166,24.0,False
9146,3627008,14005007.945827097,(2013 CJ129),0.0305179233,0.0682401509,27034.9933541454,24.7,False
9147,3627009,10929939.698853515,(2013 CK129),0.1010543415,0.2259643771,33377.8988789142,22.1,False
9148,3627010,277672.04725801,(2013 CL129),0.0055533491,0.0124176661,21839.8655477217,28.4,False
9149,3627011,26852395.20061512,(2013 CM129),0.3503926411,0.7835017643,52925.3908688963,19.4,False
